GHA|국가	GHA	가나	가나 공화국	가나공화국	Republic of Ghana	REPUBLIC OF GHANA	republic of ghana	Ghana	GHANA	ghana														
GAB|국가	GAB	가봉	가봉 공화국	가봉공화국	The Gabonese Republic	THE GABONESE REPUBLIC	the gabonese republic	Gabonese Republic	GABONESE REPUBLIC	gabonese republic	Gabon	GABON	gabon											
GUY|국가	GUY	가이아나	Guyana	GUYANA	guyana																			
GMB|국가	GMB	감비아	Republic of The Gambia	REPUBLIC OF THE GAMBIA	republic of the gambia	Republic of the gambia	Gambia	GAMBIA	gambia															
GGY|국가	GGY	건지 섬	건지 아일랜드	건지아일랜드	Guernsey Island	GUERNSEY ISLAND	guernsey island	Guernsey island	Guernsey	GUERNSEY	guernsey	건지	Bailiwick of Guernsey	BAILIWICK OF GUERNSEY	bailiwick of guernsey	Bailiwick of guernsey	Bailiage de Guernesey	BAILIAGE DE GUERNESEY	bailiage de guernesey					
GLP|국가	GLP	과들루프	과들루쁘	Guadeloupe	GUADELOUPE	guadeloupe																		
GTM|국가	GTM	과테말라	과테말라 공화국	과테말라공화국	Republic of Guatemala	REPUBLIC OF GUATEMALA	republic of guatemala	Republic of guatemala	Guatemala	GUATEMALA	guatemala													
GUM|국가	GUM	괌	Guam	guam	GUAM																			
GRD|국가	GRD	그레나다	Grenada	grenada	GRENADA																			
GEO|국가	GEO	조지아	그루지야	Republic of Georgia	REPUBLIC OF GEORGIA	republic of georgia	Republic of georgia	Georgia	GEORGIA	georgia														
GRC|국가	GRC	그리스	그리스 공화국	그리스공화국	Hellenic Republic	HELLENIC REPUBLIC	hellenic republic	Hellenic republic	The Hellenic Republic	THE HELLENIC REPUBLIC	the hellenic republic	The hellenic republic	Greece	GREECE	greece									
GRL|국가	GRL	그린란드	그뢴란	그린랜드	Grønland	GRØNLAND	grønland	Greenland	GREENLAND	greenland														
GIN|국가	GIN	기니	기니 공화국	기니공화국	Republic of Guinea	REPUBLIC OF GUINEA	republic of guinea	Republic of guinea	Guinea	GUINEA	guinea													
GNB|국가	GNB	기니비사우	기니비사우 공화국	기니비사우공화국	Republic of Guinea-Bissau	REPUBLIC OF GUINEA-BISSAU	republic of guinea-bissau	Republic of guinea-bissau	Republic of Guinea Bissau	REPUBLIC OF GUINEA BISSAU	republic of guinea bissau	Guinea-Bissau	GUINEA-BISSAU	guinea-bissau	Guinea Bissau	guinea bissau	GUINEA BISSAU							
NAM|국가	NAM	나미비아	나미비아 공화국	나미비아공화국	Republic of Namibia	REPUBLIC OF NAMIBIA	republic of namibia	Republic of namibia	Namibia	NAMIBIA	namibia	독일령 남서아프리카	독일령남서아프리카	South - West Africa	SOUTH - WEST AFRICA	south - west africa	Deutsch S?dwestafrika	DEUTSCH S?DWESTAFRIKA	deutsch s?dwestafrika					
NRU|국가	NRU	나우루	나우루 공화국	나우루공화국	Republic of Nauru	REPUBLIC OF NAURU	republic of nauru	Republic of nauru	Nauru	NAURU	nauru													
NGA|국가	NGA	나이지리아	나이지리아연방공화국	나이지리아 연방 공화국	나이지리아 연방공화국	나이지리아연방 공화국	Federal Republic of Nigeria	FEDERAL REPUBLIC OF NIGERIA	federal republic of nigeria	Federal republic of nigeria	Nigeria	NIGERIA	nigeria	나이제리아										
ATA|국가	ATA	남극	the Antarctic	The Antartic	THE ANTARTIC	the antartic	Antarctica	ANTARCTICA	antarctica															
ZAF|국가	ZAF	남아프리카 공화국	남아프리카공화국	남 아프리카 공화국	Republic of South Africa	REPUBLIC OF SOUTH AFRICA	republic of south africa	Republic of south africa																
NLD|국가	NLD	네덜란드	화란	화란국	네덜란드 왕국	네덜란드왕국	Kingdom of The Netherlands	KINGDOM OF THE NETHERLANDS	kingdom of the netherlands	Kingdom of the netherlands	Holland	HOLLAND	holland	Netherlands	NETHERLANDS	netherlands								
ANT|국가	ANT	네덜란드령 안틸레스	네덜란드 안틸래스	네덜란드령안틸레스	네덜란드안틸레스	Netherlands Antilles	NETHERLANDS ANTILLES	netherlands antilles	Netherlands antilles	쿠라사우테리토리	쿠라사우 테리토리	Cura?ao Territory	CURA?AO TERRITORY	cura?ao territory										
NPL|국가	NPL	네팔	네팔연방민주공화국	네팔 연방 민주 공화국	네팔연방 민주공화국	네팔 연방민주공화국	네팔연방민주 공화국	The Federal Democratic Republic of Nepal	THE FEDERAL DEMOCRATIC REPUBLIC OF NEPAL	the federal democratic republic of nepal	The federal Democratic republic of nepal	Republic of Nepal	REPUBLIC OF NEPAL	republic of nepal	Nepal	NEPAL	nepal							
NOR|국가	NOR	노르웨이	노르웨이 왕국	노르웨이왕국	Kingdom of Norway	KINGDOM OF NORWAY	kingdom of norway	Norway	NORWAY	norway														
NFK|국가	NFK	노퍽 섬	노퍽섬	노퍽	Norfolk I. 	Norfolk Island	NORFOLK ISLAND	norfolk island																
NCL|국가	NCL	누벨칼레도니	누벨칼레도니섬	누벨칼레도니 섬	누벨깔레도니	뉴칼레도니아	뉴 칼레도니아	New caledonia	New Caledonia	NEW CALEDONIA	new caledonia	Nouvelle-Cal?donie	NOUVELLE-CAL?DONIE	nouvelle-cal?donie										
NZL|국가	NZL	뉴질랜드	New Zealand	NEW ZEALAND	new zealand	New zealand	아오테아로아	Aotearoa	AOREAROA	aotearoa														
NIU|국가	NIU	니우에	니우에섬	니우에 섬	Niue I.	Niue Island	NIUE ISLAND	niue island	Niue island	새비지섬	새비지 섬	Savage Island	SAVAGE ISLAND	savage island										
NER|국가	NER	니제르	니제르 공화국	니제르공화국	Republic of Niger	REPUBLIC OF NIGER	republic of niger	Republic of niger	Niger	NIGER	Niger													
NIC|국가	NIC	니카라과	니카라과공화국	니카라과 공화국	Republic of Nicaragua	REPUBLIC OF NICARAGUA	republic of nicaragua	Republic of nicaragua	Nicaragua	NIGCARAGUA	nicaragua													
KOR|국가	KOR	대한민국	대한 민국	한국	남한	남조선	Republic of Korea	REPUBLIC OF KOREA	republic of korea	Korea	KOREA	korea	South Korea	SOUTH KOREA	south korea	Corea								
DNK|국가	DNK	덴마크	덴마크왕국	덴마크 왕국	Kingdom of Denmark	KINGDOM OF DENMARK	kingdom of denmark	Kingdom of denmark	Denmark	DENMARK	denmark	정말												
DMA|국가	DMA	도미니카	도미니카연방	도미니카 연방	Commonwealth of Dominica	COMMONWEALTH OF DOMINICA	commonwealth of dominica	Commonwealth of dominica	Dominica	DOMINICA	dominica													
DOM|국가	DOM	도미니카 공화국	도미니카공화국	Republica Dominicana	REPUBLICA DOMINICANA	republica dominicana	Dominican Republic	DOMINICAN REPUBLIC	dominican republic															
DEU|국가	DEU	독일	독일연방공화국	독일 연방공화국	독일 연방 공화국	독일연방 공화국	Bundesrepublik Deutschland	BUNDESREPUBLIK DEUTSCHLAND	bundesrepublik deutschland	The Federal Republic of Germany	THE FEDERAL REPUBLIC OF GERMANY	the federal republic of germany	Germany	GERMANY	germany									
TLS|국가	TLS	동티모르	티모르 공화국	티모르 로로사에	티모르공화국	티모르로로사에	Timor Lorosa'e	TIMOR LOROSA'E	timor lorosa'e	East Timor	EAST TIMOR	east timor												
LAO|국가	LAO	라오스	라오인민민주주의공화국	라오 인민 민주주의 공화국	라오인민 민주주의공화국	Lao People’s Democratic Republic	LAO PEOPLE’S DEMOCRATIC REPUBLIC	lao people’s democratic republic	Laos	LAOS	laos													
LBR|국가	LBR	라이베리아	라이베리아공화국	라이베리아 공화국	Republic of Liberia	REPUBLIC OF LIBERIA	republic of liberia	리베리아	Liberia	LIBERIA	liberia													
LVA|국가	LVA	라트비아	라트비아공화국	라트비아 공화국	Republic of Latvia	REPUBLIC OF LATVIA	republic of latvia	Latvia	LATVIA	latvia														
RUS|국가	RUS	러시아	Россия	РОССИЯ	россия	Russia	RUSSIA	russia	러시아 연방	러시아연방	"Российская Федерация, Russian Federation"	"РОССИЙСКАЯ ФЕДЕРАЦИЯ, RUSSIAN FEDERATION"	"российская федерация, russian federation"											
LBN|국가	LBN	레바논	레바논공화국	레바논 공화국	Republic of Laebanon	REPUBLIC OF LAEBANON	republic of laebanon	Lebanon	LEBANON	lebanon														
LSO|국가	LSO	레소토	레소토 왕국	레소토왕국	Kingdom of Lesoto	KINGDOM OF LESOTO	kingdom of lesoto	Lesotho	LESOTHO	lesotho														
REU|국가	REU	레위니옹	R?union	R?UNION	r?union	La R?union 	LA R?UNION 	la r?union 	라 레위니옹	라레위니옹	레유니옹	레위니옹 섬	레위니옹섬	LaR?union	LAR?UNION	lar?union								
ROU|국가	ROU	루마니아	Rumania	RUMANIA	rumania																			
LUX|국가	LUX	룩셈부르크	룩셈부르크대공국	룩셈부르크 대공국	룩셈부르그	Grand Duchy of Luxembourg	GRAND DUCHY OF LUXEMBOURG	grand duchy of luxembourg	Luxembourg	LUXEMBOURG	luxembourg	룩셈버그												
RWA|국가	RWA	르완다	르완다 공화국	르완다공화국	Republic of Rwanda	REPUBLIC OF RWANDA	republic of rwanda	Rwanda	RWANDA	rwanda														
LBY|국가	LBY	리비아	대사회주의 인민 리비아 아랍국	대사회주의인민리비아아랍국	대사회주의인민 리비아 아랍국	리비아 아랍국	인민 리비아	대사회주의 인민리비아 아랍국	Great Socialist People's Libyan Arab Jamahiriya	GREAT SOCIALIST PEOPLE'S LIBYAN ARAB JAMAHIRIYA	great socialist people's libyan arab jamahiriya	Libya	LIBYA	livya	구(舊) 사회주의인민리비아아랍국	사회주의인민리비아아랍국	리비아 인민사회주의 아랍공화국	Socialist People's Libyan Arab Jamahiria	The Great Socialist People's Libyan Arab Jamahiriya					
LTU|국가	LTU	리투아니아	리투아니아공화국	리투아니아 공화국	Republic of Lithuania	REPUBLIC OF LITHUANIA	republic of lithuania	Lithuania	LITHUANIA	lithuania														
LIE|국가	LIE	리히텐슈타인	리히텐슈타인 공국	리히텐슈타인공국	Principality of Liechtenstein	PRINCIPALITY OF LIECHTENSTEIN	principality of liechtenstein	Liechtenstein	LIECHTENSTEIN	liechtenstein														
MDG|국가	MDG	마다가스카르	마다가스카르 공화국	마다가스카르공화국	Republic of Madaga	REPUBLIC OF MADAGA	republic of madaga	Madagascar	MADAGASCAR	madagascar														
MTQ|국가	MTQ	마르티니크	마르티니크 섬	마르티니크섬	Martinique I.	MARTINIQUE I.	martinique i.	Martinique Island	MARTINIQUE ISLAND	martinique island	Martinique	MARTINIQUE	martinique											
MHL|국가	MHL	마셜 제도	마샬제도공화국	마샬제도 공화국	Republic of the Marshall Islands	REPUBLIC OF THE MARSHALL ISLANDS	republic of the marshall islands	Marshall Islands	MARSHALL ISLANDS	marshall islands	마셜제도 공화국	마셜제도공화국												
MYT|국가	MYT	마요트	마요트섬	마요트 섬	Mayotte	MAYOTTE	mayotte																	
MAC|국가	MAC	마카오	오문	마카우	Macau	MACAU	macau	Macao	MACAO	macao														
MKD|국가	MKD	마케도니아 공화국	마케도니아공화국	북마케도니아공화국	Republic of North Macedonia	REPUBLIC OF NORTH MACEDONIA	republic of north macedonia	Република Северна Македони?а	РЕПУБЛИКА СЕВЕРНА МАКЕДОНИ?А	република северна македони?а	북마케도니아 공화국	Северна Македони?а	СЕВЕРНА МАКЕДОНИ?А	северна македони?а	North Macedonia	NORTH MACEDONIA	north macedonia							
MWI|국가	MWI	말라위	말라위 공화국	말라위공화국	Republic of Malawi	REPUBLIC OF MALAWI	republic of malawi	Malawi	MALAWI	malawi														
MYS|국가	MYS	말레이시아	말레시아	말래이시아	Malaysia	MALAYSIA	malaysia																	
MLI|국가	MLI	말리	말리 공화국	말리공화국	Republic of Mali	REPUBLIC OF MALI	republic of mali	Mali	MALI	mali														
IMN|국가	IMN	맨 섬	isle of Man	ISLE OF MAN	isle of man	맨섬																		
MEX|국가	MEX	멕시코	멕시코 합중국	멕시코합중국	United Mexican States	UNITED MEXICAN STATES	united mexican states	Mexico	MEXICO	mexico														
MCO|국가	MCO	모나코	모나코공국	모나코 공국	Principality of Monaco	PRINCIPALITY OF MONACO	principality of monaco	Monaco	MONACO	monaco														
MAR|국가	MAR	모로코	모로코왕국	모로코 왕국	Kingdom of Morocco	KINGDOM OF MOROCCO	kingdom of morocco	Morocco	MOROCCO	morocco														
MUS|국가	MUS	모리셔스	모리셔스 공화국	모리셔스공화국	Republic of Mauritius	REPUBLIC OF MAURITIUS	republic of mauritius	Mauritius	MAURITIUS	mauritius	마우리셔스	마우리시어스												
MRT|국가	MRT	모리타니	모리타니 이슬람 공화국	모리타니이슬람공화국	Islamic Republic of Mauritanie	ISLAMIC REPUBLIC OF MAURITANIE	islamic republic of mauritanie	Mauritania	MAURITANIA	mauritania	마우리타니아	모리타니이슬람 공화국	모리타니 이슬람공화국	모리타니공화국	모리타니 공화국									
MOZ|국가	MOZ	모잠비크	모잠비크 공화국	모잠비크공화국	Republic of Mozambique	REPUBLIC OF MOZAMBIQUE	republic of mozambique	Mozambique	MOZAMBIQUE	mozambique														
MNE|국가	MNE	몬테네그로	몬테네그로 공화국	몬테네그로공화국	Montenegro	MONTENEGRO	montenegro																	
MSR|국가	MSR	몬트세랫	몬트세랫섬	몬트세랫 섬	Montserrat I.	MONTSERRAT I.	montserrat i.	몬트새렛 섬	몬트새렛섬	Montserrat Island	MONTSERRAT ISLAND	montserrat island												
MDA|국가	MDA	몰도바	몰도바공화국	몰도바 공화국	Republic of Moldova	REPUBLIC OF MOLDOVA	republic of moldova	Moldova	MOLDOVA	moldova														
MDV|국가	MDV	몰디브	몰디브공화국	몰디브 공화국	Republic of Maldives	REPUBLIC OF MALDIVES	republic of maldives	Maldives	MALDIVES	maldives	말디브													
MLT|국가	MLT	몰타	몰타공화국	몰타 공화국	Republic of Malta	REPUBLIC OF MALTA	republic of malta	Malta	MALTA	malta	말타													
MNG|국가	MNG	몽골	몽골공화국	몽골 공화국	Mongolia	MONGOLIA	mongolia																	
USA|국가	USA	미국	아메리카합중국	아메리카 합중국	United States of America	UNITED STATES OF AMERICA	united states of america	America	AMERICA	america	USA	U.S.A.	usa	u.s.a.	U.s.a	U.S.A	u.s.a	U.s.a.	미연방공화국	미 연방 공화국				
UMI|국가	UMI	미국령 군소 제도	United States Minor Outlying Islands	UNITED STATES MINOR OUTLYING ISLANDS	united states minor outlying islands	미국령군소제도	미국령 군소제도																	
VIR|국가	VIR	미국령 버진아일랜드	United States Virgin Islands	UNITED STATES VIRGIN ISLANDS	united states virgin islands	미국령버진아일랜드	미국령 버진 아일랜드																	
MMR|국가	MMR	미얀마	미얀마연방공화국	미얀마 연방공화국	The Republic of the Union of Myanmar	THE REPUBLIC OF THE UNION OF MYANMAR	the republic of the union of myanmar	Republic of the Union of Myanmar	REPUBLIC OF THE UNION OF MYANMAR	republic of the union of myanmar	버마	Burma	BURMA	burma	Myanmar	MYANMAR	myanmar	미얀마연방 공화국						
FSM|국가	FSM	미크로네시아 연방	미크로네시아연방국	미크로네시아 연방국	Federated States of Micronesia	FEDERATED STATES OF MICRONESIA	federated states of micronesia	미크로네시아	Micronesia	MICRONESIA	micronesia													
VUT|국가	VUT	바누아투	바누아투공화국	바누아투 공화국	Republic of Vanuatu	REPUBLIC OF VANUATU	republic of vanuatu	Vanuatu	VANUATU	vanuatu	뉴헤브리디스 제도	뉴헤브리디스제도	New Hebrides Is.	NEW HEBRIDES IS.	new hebrides is.									
BHR|국가	BHR	바레인	바레인왕국	바레인 왕국	Kingdom of Bahrain	KINGDOM OF BAHRAIN	kingdom of bahrain	Bahrain	BAHRAIN	bahrain														
BRB|국가	BRB	바베이도스	Barbados	BARBADOS	barbados	바배이도스																		
VAT|국가	VAT	바티칸 시국	바티칸시	바티칸시국	바티칸 시	바티칸시티	바티칸 시티	Stato della Citta del Vaticano	STATO DELLA CITTA DEL VATICANO	stato della citta del vaticano	Vatican City	VATICAN CITY	vatican city											
BHS|국가	BHS	바하마	바하마연방국	바하마 연방국	The Commonwealth of Bahamas	THE COMMONWEALTH OF BAHAMAS	the commonwealth of bahamas	The Bahamas	THE BAHAMAS	the bahamas	Bahamas	BAHAMAS	bahamas											
BGD|국가	BGD	방글라데시	방글라데시 인민공화국	방글라데시인민공화국	People's Republic of Bangladesh	PEOPLE'S REPUBLIC OF BANGLADESH	people's republic of bangladesh	Bangladesh	BANGLADESH	bangladesh	방글라대시													
BMU|국가	BMU	버뮤다	버뮤다제도	버뮤다 제도	Bermuda Is.	BERMUDA IS.	bermuda is.	Bermuda	BERMUDA	bermuda	벌뮤다													
BEN|국가	BEN	베냉	베냉공화국	베냉 공화국	Republic of Benin	REPUBLIC OF BENIN	republic of benin	Benin	BENIN	benin	다호메	다호매	Dahomey	DAHOMEY	dahomey	배냉 공화국	배냉	배냉공화국	배닌공화국	배닌	배닌 공화국	베닌	베닌공화국	베닌 공화국
VEN|국가	VEN	베네수엘라	베네수엘라볼리바르공화국	베네수엘라 볼리바르 공화국	The Bolivarian Republic of Venezuela	THE BOLIVARIAN REPUBLIC OF VENEZUELA	the bolivarian republic of venezuela	Republica Bolivariana de Venezuela	REPUBLICA BOLIVARIANA DE VENEZUELA	republica bolivariana de venezuela	베네수엘라볼리바르 공화국	Venezuela	VENEZUELA	venezuela	베네주엘라									
VNM|국가	VNM	베트남	베트남사회주의공화국	베트남 사회주의 공화국	Socialist Republic of Vietnam	SOCIALIST REPUBLIC OF VIETNAM	socialist republic of vietnam	Vietnam	VIETNAM	vietnam	비엣남	월남국	월남	베트남 공화국	베트남공화국	베트남사회주의 공화국	베트남 사회주의공화국							
BEL|국가	BEL	벨기에	벨기에왕국	벨기에 왕국	Kingdom of Belgie	KINGDOM OF BELGIE	kingdom of belgie	Belgium	BELGIUM	belgium	밸기애	밸기에	벨기애	밸기애왕국	밸기에왕국	벨기애왕국	밸기애 왕국	밸기에 왕국	벨기애 왕국	벨지움	밸지움	벨지움 왕국	밸지움 왕국	
BLR|국가	BLR	벨라루스	벨라루스 공화국	벨라루스공화국	Republic of Belarus	REPUBLIC OF BELARUS	republic of belarus	Belarus	BELARUS	belarus	벨로루시	밸라루스	밸로루시	밸라루스 공화국	밸라루스공화국	벨로루시공화국	밸로루시공화국	벨로루시 공화국	벨로루시 공화국					
BLZ|국가	BLZ	벨리즈	Belize	BELIZE	belize	벨리제																		
BIH|국가	BIH	보스니아 헤르체고비나	보스니아-헤르체고비나	보스니아 - 헤르체고비나 	Bosnia and Herzegovina	BOSNIA AND HERZEGOVINA	bosnia and herzegovina	보스니아- 헤르체고비나	보스니아헤르체고비나	보스니아 -헤르체고비나	보즈나와													
BWA|국가	BWA	보츠와나	보츠와나공화국	보츠와나 공화국	Republic of Botswana	REPUBLIC OF BOTSWANA	republic of botswana	Botswana	BOTSWANA	botswana														
BOL|국가	BOL	볼리비아	볼리비아공화국	볼리비아 공화국	Plurinational State of Bolivia	PLURINATIONAL STATE OF BOLIVIA	plurinational state of bolivia	Bolivia	BOLIVIA	bolivia	볼리비아 다민족국	볼리비아다민족국												
BDI|국가	BDI	부룬디	부룬디공화국	부룬디 공화국	Republic of Burundi	REPUBLIC OF BURUNDI	republic of burundi	Burundi	BURUNDI	burundi														
BFA|국가	BFA	부르키나파소	부르키나파소 민주공화국	부르키나파소민주공화국	Democratic Republic of Burkina Paso	DEMOCRATIC REPUBLIC OF BURKINA PASO	democratic republic of burkina paso	Burkina Faso	BURKINA FASO	burkina faso	Democratic Republic of Burkina Faso	DEMOCRATIC REPUBLIC OF BURKINA FASO	democratic republic of burkina faso	Haute-Volta	HAUTE-VOLTA	haute-volta	Haute Volta	HAUTE VOLTA	haute volta	오트볼타	오트 볼타	부르키나 파소	부르키나파소민주 공화국	부르키나파소 민주공화국
BVT|국가	BVT	부베 섬	부베	부베섬	Bouvet Island	BOUVET ISLAND	bouvet island	Bouvetøya	BURKINA FASO	bouvetøya														
BTN|국가	BTN	부탄	부탄왕국	부탄 왕국	Kingdom of Bhutan	KINGDOM OF BHUTAN	kingdom of bhutan	Bhutan	BHUTAN	bhutan														
MNP|국가	MNP	북마리아나 제도	북마리아나제도 연방	북마리아나제도연방	Northern Mariana Is.	NORTHERN MARIANA IS.	northern mariana is.	북마리아나제도	북마리아나 연방	북마리아나연방														
BGR|국가	BGR	불가리아	불가리아 공화국	불가리아공화국	The Republic of Bulgaria	THE REPUBLIC OF BULGARIA	the republic of bulgaria	Bulgaria	BULGARIA	bulgaria														
BRA|국가	BRA	브라질	브라질연방공화국	브라질 연방 공화국	Federative Republic of Brazil	FEDERATIVE REPUBLIC OF BRAZIL	federative republic of brazil	Brazil	BRAZIL	brazil	브라질연방 공화국	브라질 연방공화국												
BRN|국가	BRN	브루나이	브루나이다루살람	브루나이 다루살람	Negara Brunei Darussalam	NEGARA BRUNEI DARUSSALAM	negara brunei darussalam	Brunei	BRUNEI	brunei														
WSM|국가	WSM	사모아	서사모아	서 사모아	The Independent State of Samoa	THE INDEPENDENT STATE OF SAMOA	the independent state of samoa	Western Samoa	WESTERN SAMOA	western samoa	Samoa	SAMOA	samoa	사모아 독립국	사모아독립국									
SAU|국가	SAU	사우디아라비아	사우디 아라비아왕국	사우디아라비아 왕국	Kingdom of Saudi Arabia	KINGDOM OF SAUDI ARABIA	kingdom of saudi arabia	Saudi Arabia	SAUDI ARABIA	saudi arabia	사우디 아라비아	사우디 아라비아 왕국	사우디 왕국	사우디왕국	아라비아 왕국	아라비아왕국								
SGS|국가	SGS	사우스조지아 사우스샌드위치 제도	사우스조지아사우스샌드위치제도	사우스조지아사우스샌드위치 제도	South Georgia and the South Sandwich Islands	SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS	south georgia and the south sandwich islands	사우스조지아 사우스샌드위치제도	사우스 조지아 사우스 샌드위치 제도	사우스 조지아 사우스 샌드위치제도														
SMR|국가	SMR	산마리노	산 마리노공화국	산 마리노 공화국	Republic of San Marino	REPUBLIC OF SAN MARINO	republic of san marino	San Marino	SAN MARINO	san marino	산마리노공화국	산마리노 공화국	산 마리노											
STP|국가	STP	상투메 프린시페	상투메프린시페민주공화국	상투메프린시페 민주공화국	Democratic Republic of Sao Tome and Principe	DEMOCRATIC REPUBLIC OF SAO TOME AND PRINCIPE	democratic republic of sao tome and principe	Sao Tome and Principe	SAO TOME AND PRINCIPE	sao tome and principe	상 투메 프린시페 민주 공화국	상투메 프린시페 민주 공화국	상투메프린시페 민주 공화국											
SPM|국가	SPM	생피에르 미클롱	Saint-Pierre et Miquelon	SAINT-PIERRE ET MIQUELON	saint-pierre et miquelon																			
ESH|국가	ESH	서사하라	Western Sahara	WESTERN SAHARA	western sahara	사하라 아랍 민주공화국	사하라 아랍민주공화국	사하라아랍민주공화국	사하라아랍 민주공화국	사하라아랍 민주 공화국	Sahrawi Arab Democratic Republic	SAHRAWI ARAB DEMOCRATIC REPUBLIC	sahrawi arab democratic republic											
SEN|국가	SEN	세네갈	세네갈공화국	세네갈 공화국	Republic of Senegal	REPUBLIC OF SENEGAL	republic of senegal	Senegal	SENEGAL	senegal														
SRB|국가	SRB	세르비아	세르비아공화국	세르비아 공화국	Republic of Serbia	REPUBLIC OF SERBIA	republic of serbia	Serbia	SERBIA	serbia	새르비아													
SYC|국가	SYC	세이셸	세이셸공화국	세이셸 공화국	Republic of Seychelles	REPUBLIC OF SEYCHELLES	republic of seychelles	Seychelles	SEYCHELLES	seychelles	세이셀	세이셀 공화국	세이셀공화국	산타루치아										
LCA|국가	LCA	세인트루시아	St.Lucia	St. Lucia	ST. LUCIA	st. lucia	ST.LUCIA	st.lucia																
VCT|국가	VCT	세인트빈센트 그레나딘	세인트빈센트그레나딘	세인트 빈센트 그레나딘 	St. Vincent and the Grenadines	ST. VINCENT AND THE GRENADINES	st. vincent and the grenadines																	
KNA|국가	KNA	세인트키츠 네비스	세인트키츠네비스	세인트 키츠 네비스	세인트 키츠네비스	세인트크리스토퍼네비스	세인트 크리스토버네비스	세인트 크리스토퍼 네비스	세인트 크리스토퍼네비스 	St. Christopher and Nevis	ST. CHRISTOPHER AND NEVIS	st. christopher and nevis	St. Kitts and Nevis	ST. KITTS AND NEVIS	st. kitts and nevis	Federation of Kitts and Nevis	FEDERATION OF KITTS AND NEVIS	federation of kitts and nevis	세인트키츠네비스연방	세인트키츠네비스 연방	세인트 키츠 네비스 연방	세인트키츠 네비스 연방		
SHN|국가	SHN	세인트헬레나	세인트헬레나 섬	세인트헬레나섬	Saint Helena I.	SAINT HELENA I.	saint helena i.	세인트 헬레나 섬	세인트 헬레나섬	세인트 헬레나														
SOM|국가	SOM	소말리아	소말리아 공화국	소말리아공화국	Somali Democratic Republic	SOMALI DEMOCRATIC REPUBLIC	somali democratic republic	Somalia	SOMALIA	somalia														
SLB|국가	SLB	솔로몬 제도	솔로몬아일랜드	솔로몬 아일랜드	Solomon Islands	SOLOMON ISLANDS	solomon islands	솔로몬제도																
